2855,"M/s. Swatantra Hospital,  Blood Bank",Andhra Pradesh,Rajahmundry,"D.No: 46-13-31,1st Floor, Gowthami Scan Centre Private Limited, Near Gandhi Park,  Danaviepeta, Rajahmundry.","0883 2464745, 0883 246569878, 0883 2461493"
2856,M/S. Dhanwantari Voluntary Blood Bank.,Andhra Pradesh,Rajahmundry,"D.No:46-21-1,2nd Floor, Danavaiepeta, Rajahmundry",0833-2473050
2857,M/s. Government Area General Hospital Blood Bank.,Andhra Pradesh,Tuni,"M/s.Government Area Hospital Blood Bank, Area hospital, Tuni",08854 252333
2858,M/s. Sakthi Voluntary Blood Bank (Sakthi Association for Social Awarness),Andhra Pradesh,Tuni,"D.No: 3-5-9, Opposite to Raithu Bazar, Lalam Satyanarayana Hospital Street, Tuni",08854 251123
2859,Government General Hospital Blood Bank,Andhra Pradesh,Guntur,"Opposite to Railway Station, 1st Floor, C/o Government General Hospital, Guntur.",0863 2220035 (Ext No: 280)
2860,Indian Red Cross Society,Andhra Pradesh,Guntur,"Blood Bank Medical Officer, Blood Bank, Indian Red Cross Society, Guntur, District Guntur",""
2861,Indian Red Cross Society Blood Bank,Andhra Pradesh,Guntur city,"Zilla Parishad Compound, Nagarampalem, GUNTUR",0863 2215656
2862,Lions Club of Guntur Vision Blood Bank,Andhra Pradesh,Guntur city,"1st Floor, Somuvari Street, Kothapeta, Guntur","0863 2336198, 0863 2336199"
2863,Padmavathi Day & Night Blood Bank,Andhra Pradesh,Guntur city,"Opposite to Head Post Office, Behind Veterinary Hospital, Kothapeta",""
2864,M/s. Needs Blood Bank,Andhra Pradesh,Guntur city,"1st Floor, Honda Show Room Building, Opposite Doctor Plaza, Kothapeta","0863 6638222, 0863 6639222"
2865,M/s. Sri Lakshmi Maternity & Surgical Nursing Home Blood Bank,Andhra Pradesh,Guntur city,"4th Floor, Behind Sivalayam Temple, Kothapeta",0863 2219955
2866,Saint Joseph General Hospital Blood Bank,Andhra Pradesh,Guntur city,"Opposite to Andhra Christian College, Near Flyover, Main Road, Guntur","0863 2322700, 0863 2320386"
2867,NTR Memorial Trust Blood Bank,Andhra Pradesh,Guntur city,"Door No. 13-2-87, 1st Line G. V. Thota",0863 2339444
2868,Katuri Medical College and Hospital Blood Bank,Andhra Pradesh,Guntur Rural,"Katuri Nagar, Chinakondrupadu, Guntur","0863 2288555, 0863 2288556 (Ext No. 234)"
2869,NRI Medical College and General Hospital Blood Bank,Andhra Pradesh,Guntur Rural,"Mangalagiri Mandalam, Chinakakani, Guntur","08645 236777, 08645 237401, 08645 230101"
2870,Manipal Hospital Bloodbank,Andhra Pradesh,Guntur Rural,"Soumyanagar, Tadepalli, Guntur",0866 2489700 (Ext No.102)
2871,Indian Red Cross Society Blood Bank. Narassraopet,Andhra Pradesh,Narasaraopeta,"Area Hospital, Narasaraopeta",8647224455
2872,NRT Blood Bank,Andhra Pradesh,Narasaraopeta,"GBR Super Speciality Hospital, 10-1-10/1, Palnadu Road, Narasaraopeta",9542628888
2873,Anjireddy Multi Specality Blood Bank,Andhra Pradesh,Piduguralla,"Gaganamma Temple, Piduguralla",08649 254567
2874,Red Cross Blood Bank,Andhra Pradesh,Repalle,"Government Hospital Premises
 Repalle-522265
 Guntur Dist,A.P",08648 223939
2875,Area Hospital (Repeated),Andhra Pradesh,Tenali,"Blood Bank Medical Officer,  Blood Bank, Area Hospital, Tenali, Guntur District",""
2876,APVVP District Hospital Blood Bank,Andhra Pradesh,Tenali,"APVVP District Hospital Premises, Chenchupeta, Tenali, Guntur",""
2877,Rudhira Voluntary Blood Bank,Andhra Pradesh,Tenali,"D.No. 7-5-56, KRR Complex, 1st Floor, Opposite ASN college, Prakasam Road, Ganganammapeta, Tenali","08644 231222, 08644 654123"
2878,Best Rotary Blood Bank,Andhra Pradesh,Tenali,"Mahila Mandali Building, Sarojini Naidu Street, Kothapeta, Tenali",NA
2879,Area Hospital Blood Bank,Andhra Pradesh,Gudivada,Gudivada,08674 245040
2880,Dr. Pattabhi Red Cross Blood Bank,Andhra Pradesh,Machilipatnam,"DM & HO Campus, Machilipatnam",08672 230605
2881,Government General Hospital (Repeated),Andhra Pradesh,Vijayawada,"Government General Hospital, Ramavarapadu, Vijayawada - 520007",9866686760
2882,Government District Headquarters Hospital machilipatnam blood bank,Andhra Pradesh,Vijayawada,Machilipatnam,08672 245040
2883,Rotary Red Cross Blood Bank,Andhra Pradesh,Vijayawada,"H.No: 26-5-5, G.S Raju Street, Gandhinagar, Vijayawada - 520003. Krishna District","0866 2570082, 0866 6464002"
2884,Vijaya Sri Blood Bank,Andhra Pradesh,Vijayawada,"VijayaSri Palace,D. No. 29-19-27/4, Ground Floor, First Floor and Second Floor, Dornakal Road, Suryaraopet, Vijayawada",0866 2433199
2885,Lions Blood Bank,Andhra Pradesh,Vijayawada,"D. No. 29-19-85, 1st & 2nd Floor,Old Janatha Hospital Building, Dornakal Road, Suryaraopet, Vijayawada",0866 2434417
2886,University General Hospital Blood Bank,Andhra Pradesh,Vijayawada,"Ring Road, Gunadala, Vijayawada","0866 2452244, 0866 2453488"
2887,M/s. Chaitanya Blood Bank,Andhra Pradesh,Vijayawada,"40-9/1-26, Vasavya Complex, Benz Circle, Vijayawada","0866 2497977, 0866 645977"
2888,Nagarjuna Hospital Blood Bank,Andhra Pradesh,Vijayawada,"Kanuru, Vijayawada",0866 2554701
2889,Saint Ann&#39;s Hospital Blood Bank,Andhra Pradesh,Vijayawada,"Punnammathota, Bandhar Road, Vijayawada - 2",0866 2572057
2890,Rotary Red Cross Blood Bank (Repeated),Andhra Pradesh,Vijayawada,"26-5-5, G.S. Raju Road, Vijayawada",2570082
2891,Dr. Pinnamaneni Siddhartha Insitiute of Medical Sciences & Research Foundation (Dr.P.SIMS & RF) Blood Bank,Andhra Pradesh,Vijayawada,Chinnaoutapalli.,08676 257311
2892,Bethesda Blood Bank,Andhra Pradesh,Vijayawada,"29-10-2, Ground Floor, Narsimharao Street, Suryaraopet, Vijayawada",0866 2435888
2893,"Smt CH. Manju Vani Vara Prasad, Lions District 316D Blood Bank",Andhra Pradesh,Vijayawada,"H.No.29-4-54K, Conan Dhanvoda Anantham Complex, Prakasam Road, Suryaraopet, Vijayawada",0866 2573636
2894,Suraksha Voluntary Blood Bank,Andhra Pradesh,Vijayawada,"29-10-8, Govinda Rajulu Naidu Street, Suryaraopet, Vijayawada",0866 2434499
2895,M/s Ayush Nri Lepl Health Care Private Limited,Andhra Pradesh,Vijayawada,"First Floor, D. No. 40-13-3& 3A, Ring Road, Sriramachandra Nagar, Vijayawada",0866 2541414
2896,M/s. Nimra Institute of Medical Sciences,Andhra Pradesh,Vijayawada,"Ground Floor, Adjacent to Central Lab, Teaching Hospital & Research Centre, Nimranagar, Jupudi, Ibrahimpatmnam, Vijayawada.Krishna","0866 6500000, 0866 6545454"
2897,"RCH -II Blood Bank, Area Hospital, Adoni",Andhra Pradesh,Adoni,"Dr. H. Siva Reddy, Civil Surgeon RMO (Rtd),Medical Officer  IRCS, RCH-II, Blood Bank, Area Hospital, Adoni-518301",""
2898,M/s. Indian Red Cross Society Blood Bank RCH 2,Andhra Pradesh,Adoni,"First Floor, Government Area Hospital, Adoni, Kurnool",NA
2899,M/s. Government General Hospital Blood Bank,Andhra Pradesh,Kurnool,kurnool,""
2900,M/s. Indian Red Cross Society Blood Bank,Andhra Pradesh,Kurnool,"Opposite Ravi Theatre, D.M & H.O Compound, Beside Control Room, Kurnool",08518 255347
2901,M/s. Viswa Bharathi General Hospital Blood Bank,Andhra Pradesh,Kurnool,"2nd Floor, R. T. Nagar, Near Penchikalapadu (v) Kallur (m), Kurnool",08518 283964
2902,M/s. Viswa Bharathi Blood Bank,Andhra Pradesh,Kurnool,"D. No. 50/760-A-127-13,1st Floor (O.P. Block), Gayathri Estate, Kurnool.",08518 22294
2903,M/s. R.R. Hospital Blood Bank,Andhra Pradesh,Kurnool,"D.No.40-304-10, 2nd Floor, Bhagya Nagar, Kurnool",08518 223131
2904,District Hospital Blood Bank,Andhra Pradesh,Nandyal,"District Hospital, Noonepalli, Nandyal, Kurnool",8514221033
2905,M/s. Shantiram Medical College & General Hospital Blood Bank,Andhra Pradesh,Nandyal,"(Shafa Educational Society) NH-18, Nandyal",""
2906,Government Hospital Blood Bank,Andhra Pradesh,Srisailam Project,"Blood Bank Medical Officer,  Blood Bank, Government Hospital, Srisailam Project, Kurnool District",""
2907,M/s. Area Hospital Blood Bank,Andhra Pradesh,Chirala,"Ground Floor, Room No.10, Area Hospital, Chirala, Prakasam",8520026320
2908,Indian Red Cross Society Blood bank,Andhra Pradesh,Markapur,"A.P.V.P. Area Hospital, Cumbum Road, Markapur",08596 223485
2909,M/s. RIMS General Hospital Blood Bank,Andhra Pradesh,Ongole,"C/o. RIMS General Hospital , D.No. 8-5-2/A, Opposite Bapuji Kalamandir, Bhagya Nagar, 5th Lane, Ongole",8592233310
2910,Indian Red Cross Society Blood Bank,Andhra Pradesh,Ongole,"IRCS Blood Bank, Railway Station Road, SanthaPeta, Ongole, Prakasam",08592 236093
2911,M/s. Life Line Volunytary Blood Bank,Andhra Pradesh,Ongole,"D. No.37-1-169/54, 2nd Floor, Sundharaiah Bhavan Raod, Ongole.",9247023117
2912,M/s. Belief Blood Bank,Andhra Pradesh,Ongole,"3rd Floor, Sai Complex, Addanki Bus Stop, Ongole",08592 222345
2913,Government Hospital Blood Bank,Andhra Pradesh,Gudur,"Area Hospital Compound, Gudur",""
2914,M/s. Kanamarlapudi Koteswara Rao Indian Red Cross Society (IRCS) (REPEATED),Andhra Pradesh,Kavali,"Survey No.1083/3, R.D Office Compound, Kavali.",08626 244766
2915,M/s. APVVP Area Hospital Blood Bank,Andhra Pradesh,Kavali,Area Hospital Compound Kavali,""
2916,M/s. Kanamarlapudi Koteswara Rao Indian Red Cross Society Blood Bank,Andhra Pradesh,Kavali,"Survey No.1083/3, R.D. Office Compound, Kavali",08626 244766
2917,Indian Red Cross Society Blood Bank,Andhra Pradesh,Nellore,"Indian Red Cross Society (IRCS) Road, Madras Bus stand, Nellore",0861 2320470
2918,District Headquarters Hospital (Repeated),Andhra Pradesh,Nellore,"District Headquarters Hospital, Dargamitta, Nellore",""
2919,D.S.R. Headquarters Hospital Blood Bank,Andhra Pradesh,Nellore,"Government Hospital Compound, Nellore",0861 2349277
2920,Narayana Medical College & Hospital Blood Bank,Andhra Pradesh,Nellore,"Narayana Hospital compound, Nellore",0861 2317963
2921,Gems Hospital Blood Bank,Andhra Pradesh,Ragolu,"Gems Hospital Premises, Ragolu, Srikakulam",NA
2922,GMR Varalakshmi Care Hospital Blood Bank,Andhra Pradesh,Rajam,"GMR Varalakshmi Care Hospital Premises, GMR Nagar, Rajam","08941 253183, 08941 253184"
2923,Rajiv Gandhi Institute of Medical Sciences (RIMS) General Hospital Blood Bank,Andhra Pradesh,Srikakulam,"RIMS Government Hospital Premises, Balaga, Srikakulam",08942 279679
2924,Indian Red Cross Society (IRCS) Blood Bank,Andhra Pradesh,Srikakulam,"D.No. 8-5-2/A, Opposite to Bapuji Kalamandir, Srikakulam","08942 226555, 08942 226111"
2925,District Hospital,Andhra Pradesh,Anakapalli,AH- ANAKAPALLI,""
2926,M/s. NTR Area Hospital Blood Bank,Andhra Pradesh,Anakapalli,"APVVP Hospital Premises, Anakapalli, Visakhapatnam",08924 223340
2927,M/s. Visakha Steel General Hospital Blood Bank,Andhra Pradesh,Gajuwaka,"Ukkunagaram, Steel Plant, Visakhapatnam",0891 2887722
2928,M/s. INHS Kalyani Blood Bank,Andhra Pradesh,Gajuwaka,"INHS Kalyani Hospital, Gandhigram (PO), Visakhapatnam",0891 2814028
2929,M/s. Anil Neerukonda Hospital  Blood Bank,Andhra Pradesh,Sangivalasa,"Sangivalasa, Bheemunipatnam (M), Visakhapatnam District",8912821111 (Exte. No. 126)
2930,M/s. King George Hospital (KGH) Blood Bank,Andhra Pradesh,Visakhapatnam,"King George Hospital, Maharanipeta, Visakhapatnam",0891 2564891
2931,M/s. Government Victoria Hospital Blood Bank,Andhra Pradesh,Visakhapatnam,"Women & Children Hospital Blood Bank, Visakhapatnam",0891 2562637
2932,M/s. Indian Red Cross Society Blood Bank,Andhra Pradesh,Visakhapatnam,"D.No:14-35-4, Behind Collecorate, Z..P. Junction, Maharanipeta, Visakhapatnam",0891 2703953
2933,M/s. Rotary Blood Bank (Vishaka Port City Rotary Charitable Trust),Andhra Pradesh,Visakhapatnam,"D.No: 13-26-2/54, 3rd Floor, Apuroopa Arcade, Near Jagadamba Junction, Maharanipeta, Vishakapatnam","0891 6534635, 0891 2506678"
2934,M/s. Apollo Hospital Heart & Kidney Centre Blood Bank,Andhra Pradesh,Visakhapatnam,"D.No.10-50-80, 1st Floor, Apollo Hospital, Waltair Main Road, Visakhapatnam.",0891 2727272
2935,M/s. Seven Hills Hospital Blood Bank,Andhra Pradesh,Visakhapatnam,"D.No.11-4-4/A, 5th Floor, Rock Dale Layout, Waltair MainRoad, Visakhapatnam",0891 6677777
2936,A. S. Raja Voluntary Blood Bank,Andhra Pradesh,Visakhapatnam,"D.No. 10-50-11/5, Ground Floor, 1st, 2nd and 3rd Floor, Beside CARE Hospital, Waltair Main Road, Ramnagar, Visakhapatnam","0891 2543436,0891 6663436,0891 6644936."
2937,M/s. Lions Club of Visakhapatnam Blod Bank Trust,Andhra Pradesh,Visakhapatnam,"D. No.10-54-7, Lions Community Hall, Ram Nagar, Visakhapatnam","0891 6692587, 0891 6692580, 0891 6692590"
2938,M/s. N.T.R. Memorial Trust Blood Bank,Andhra Pradesh,Visakhapatnam,"P. No. 15B-3-1, Block No. 56, Waltair Main Road, Ramnagar, Visakhapatnam","0891 2565858, 0891 2555858"
2939,M/s. Gitam Institute of Medical Sciences and Research Blood Bank,Andhra Pradesh,Visakhapatnam,"D.No.5-168, Ward No.6, Gitam University, Rushikonda, Visakhapatnam",0891 2524777
2940,M/s. Gayatri Vidya Parishad Institute of Health Care and Medical Technology,Andhra Pradesh,Visakhapatnam,"D. No.6-25, Maridi Valley, Marikavalasa, Madhurawada, Vishakapatnam","0891 2793741, 0891 2590131"
2941,"Indian Red Cross Society Blood Bank, RCH-II",Andhra Pradesh,Parvathipuram,"Area Hospital Premises, First Floor, Belagam, Parvathipuram",08963 222088
2942,District Headquarters Hospital Blood Bank,Andhra Pradesh,Vizianagaram,"District Headquarters Hospital, Cantonment, Vizianagaram",NA
2943,Indian Red Cross Society Blood Bank,Andhra Pradesh,Vizianagaram,"D.No. 71/82, Near Ganesh Temple, Cantonment,  Vizianagaram",08922 272700
2944,Srinivasa Nursing Home Blood Bank,Andhra Pradesh,Vizianagaram,"Ground Floor, Plot No. 06, Arundati Nagar, Opposite to Goods Shed, Cantonment, Vizianagaram",08922 275513
2945,Maharaja Institute of Medical Sciences Blood Bank,Andhra Pradesh,Vizianagaram,"D.No. 31-15, Nellimarla, Vizianagaram",08922 244394
2946,ASN Raju Charitable Trust Blood Bank,Andhra Pradesh,Bhimavaram,"D.No. 24-1-1, R.K. Plaza (Sarovar complex), J. P. Raod, Bhimavaram",08816 225556
2947,Uddaraju Anandaraju Foundation Blood Bank,Andhra Pradesh,Bhimavaram,"D.No. 27-8-21/2, Sivaraopet, Bhimavaram","08816 230888, 08816 230878"
2948,M/s. Government Headquarters Hospital Blood Bank,Andhra Pradesh,Eluru,"Government Headquarters Hospital, Ground Floor, R.R. Peta, Eluru, West Godavari",08812 220333
2949,M/s. Indian Red Cross Society Component Blood Bank,Andhra Pradesh,Eluru,"General Hospital Premises, Eluru, West Godavai",08812 224722
2950,M/s. Alluri Sitrarama Raju Academy of Medical Sciences Blood Bank,Andhra Pradesh,Eluru,"Ground Floor, Hospital Block, NH 5 Eluru, West Godavari","08812 288288, 08812 288299"
2951,M/s. Good Samaritan Blood Bank,Andhra Pradesh,Eluru,"D.No.13-1, Good Samaritan Cancer and General Hospital, Vangayagudem, Eluru, West Godavari","08812 246430, 08812 246947"
2952,M/s. Indian Red Cross Society Blood Bank jangareddi gudem,Andhra Pradesh,Jangareddygudem,"Government Hospital Premises, Jangareddygudem",08821 225305
2953,Indian Red Cross Society Blood Bank narasapuram,Andhra Pradesh,Narasapuram,"C/o. Community Healthcare Center, Narsapuram",08814 276656
2954,Palakol Voluntary Blood Bank,Andhra Pradesh,Palakol,"D.No. 47-1-12/2C, 1st floor, Beside Chamber of Commerce Building, Srinivasa Deluxe, Palakol",08814 222678
2955,Indian Red Cross Society Blood Bank Tanuku  (Repeated),Andhra Pradesh,Tanuku,"IRCS Sub Branch Doorno 27-14-9, Dodipatlavari Street, 
Tanuku, West Godavari District",8819221184
2956,Dr. Mulla Pudi Harischandra Prasad Red Cross Blood Bank,Andhra Pradesh,Tanuku,"D.No.27-14-9, Doddipatla Vari Street, Tanuku.",08819 221184
2957,Sri Buddala Narasimhamurty Voluntary Blood Bank,Andhra Pradesh,Tanuku,"D.No.34-4/5, Ground Floor, Supriya Towers, Tanuku",08819 225269
2958,Rajiv Gandhi Institute of Medical Sciences Blood Bank,Andhra Pradesh,Kadapa,"Blood Bank Medical Officer, O.P. Block Ground Floor, Blood Bank, RIMS General Hospital,Puttlampalli, Kadapa ( RIMS, Kadapa).",08562 225665
2959,"Indian Red Cross Society, Blood Bank",Andhra Pradesh,KADAPA,"D.No. 10-971, Opposite to Mattipedda Puli, Trunk Road, Kadapa",08562 272829
2960,Boga Parvathamma Blood Bank,Andhra Pradesh,Kadapa,"A unit of boga parvathamma memorial blood donation service organization,
d.no:7-137, second floor, jayanagar colony , Kadapa",NA
2961,Rajiv Gandhi Institute of Medical Sciences Blood Bank,Andhra Pradesh,Kadapa,"RIIMS General Hospital ,Ground Floor, Putlam Palli Kadapa",""
2962,Fathima Institute of Medical Sciences Blood Bank,Andhra Pradesh,Kadapa,"Ramarajupalli, Pulivendula Road Kadapa","08562 200505, 08562 200092"
2963,District Hospital Blood Bank,Andhra Pradesh,PRODDATUR,"APVVP, Gavini Circle, Yerraguntla Bypass Road, Proddatur",""
2964,A.P Vaidyavidhanaparishad Area Hospital Blood Bank,Andhra Pradesh,Proddatur,"Proddatur, YSR",""
2965,A.P. Vaidyavidhanaparishad Area Hospital - IRCS Blood Bank,Andhra Pradesh,Pulivendula,"Ground Floor, Muddanuru Road, Pulivendula",""
2966,Changlang District Hospital Blood Bank,Arunachal Pradesh,Changlang,"District Hospital, Changlang District, Arunachal Pradesh",""
2967,Pasighat General Hospital Blood Bank,Arunachal Pradesh,Pasighat,"General Hospital, Pasighat,  Jt. DHS (T&R), High Region, Near NH 52.",""
2968,Lohit District Hospital Blood Bank,Arunachal Pradesh,Tezu,"District Hospital Tezu, Lohit District, Arunachal Pradesh",""
2969,General Hospital Ziro  Blood Bank,Arunachal Pradesh,Ziro,"General Hospital Ziro, Lower Subansiri",""
2970,Ramakrishna Mission Hospital Blood bank,Arunachal Pradesh,Itanagar,"Ramakrishna Mission Hospital 
P.O. Ramakrishna Mission
Itanagar,","0360-221 2263, 221 8780"
2971,Arunachal State Hospital Blood Bank,Arunachal Pradesh,Naharlagun,"Arunachal State Hospital / General Hospital, NH 52A, Lumer Dai Road",""
2972,Tawang District Hospital Blood Bank,Arunachal Pradesh,Tawang,"District Hospital, Tawang District , Arunachal Pradesh",""
2973,Tawang District Hospital Blood Bank,Arunachal Pradesh,Tawang,"Bomdila,Tawang",""
2974,District Hospital Blood Bank,Arunachal Pradesh,Upper Siang,"Roing,Tezu, Upper Siang",""
2975,Upper Siang District Hospital Blood Bank,Arunachal Pradesh,Yingkiong,"District Hospital, Yingkiong, Upper Siang District, 
Arunachal Pradesh.",03777 222545
2976,Upper Subansiri District Hospital Blood Bank,Arunachal Pradesh,Daporijo,"District Hospital Daporijo, Upper Subansiri District, 
Arunachal Pradesh",""
2977,West Siang District Hospital Blood Bank,Arunachal Pradesh,Aalo,"District Hospital, Medical Complex, Aalo",""
2978,Fakhruddin Ali Ahmed (FAA) Medical College Hospital Blood Bank,Assam,Barpeta,"Ground Floor  Fakhruddin Ali Ahmed Medical College, Jotigaon, Jania Road.
Opposite to Chaulkhowa River",03665 252088
2979,Bongaigaon Civil Hospital Blood Bank,Assam,Bongaigaon,"Main Road, Mayapuri,Bongaigaon",03664 228103
2980,Lower Assam Hospital Blood Bank,Assam,Bongaigaon,"Chapaguri Road, North Bongaigaon",3664230465
2981,Silchar Medical College and Hospital Blood Bank,Assam,Silchar,"Krishnapur Medical Road, Ghungoor, Silchar",03842 229103
2982,Indian Red Cross Children Hospital Blood Bank,Assam,Silchar,"Indian Red Cross Children Hospital, Tarapur, Silchar",N/A
2983,Barak Blood Bank and Clinical Research Centre,Assam,Silchar,"Central Rd, Tarapur, Kanakpur Part-II",03842 222 185
2984,Bongaigaon Refinery (BRPL) Hospital Blood Bank,Assam,Dhaligaon,"BRPL Refinery, iocl/bgr township","03664254669, 03664253253"
2985,Mangaldoi Civil Hospital Blood Bank,Assam,Mangaldoi,"Mangaldoi Civil Hospital, NH 52, Mangaldoi, Darrang",03713 222024
2986,Dhemaji Civil Hospital Blood Bank,Assam,Dhemaji,"Ward No:9, Lachit Nagar, Natun Nagar Rd",N/A
2987,Dhubri Civil Hospital Blood Bank,Assam,Dhubri,"Jhagrarpar, Dhubri","0366 223 2558, 03662 230959"
2988,Assam Medical College and Hospital Blood Bank,Assam,Dibrugarh,"Barbari, Dibrugarh",3732303731
2989,Dr. Damani&#39;s Nursing Home Blood Bank,Assam,Dibrugarh,"L.G.B. Avenue, Near Circuit House",0373 2300928
2990,Aditya Diagnostic Hospital Blood Bank,Assam,Dibrugarh,"Bordoloi Avenue, Dibrugarh","0373 2302219, 0373 2302220"
2991,Sri Manta Sankardeva Hospital and Research Centre Blood Bank,Assam,Dibrugarh,"Chowkindinge, Mancotta Road","00373 2327717, 0373 2327715"
2992,Dirial Central Hospital Blood Bank,Assam,Dibrugarh,"Diral Tea estate, Hoogrijan",N/A
2993,Oil India Limited Hospital Blood Bank,Assam,Duliajan,"Oil Hospital, Duliajan",0374 2806356
2994,Haflong Civil Hospital Blood Bank,Assam,Haflong,"NH 54, Songpijaang, Haflong",03673 236 555
2995,Goalpara Civil Hospital Blood Bank,Assam,Goalpara,"Agia Road, Goalpara","03663240337, 03663 243800"
2996,Solace Hospital and Research centre Pvt.Ltd Blood bank,Assam,Goalpara,"BOC Agia Road Road, P.O. Baladmari
Opposite to Assam Oil Petrol Pump","03663 240021, 03663 243031"
2997,Kushal Konwar (KK) Civil Hospital Blood Bank,Assam,Golaghai town,"Abita Building, 1st floor,  Golaghat Near stataion Rd","00377 428 0042, 03774 280265"
2998,Vivekananda Kendra NRL Hospital Blood Bank,Assam,Golaghat,"NRL Township, Numaligarh Refinery Complex","03776-266-566,03776-266-700"
